expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.H.A.2/000391-2023,PFC.H.A.2/000391-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000392-2023,PFC.H.A.2/000392-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000393-2023,PFC.H.A.2/000393-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000394-2023,PFC.H.A.2/000394-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000395-2023,PFC.H.A.2/000395-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000396-2023,PFC.H.A.2/000396-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000397-2023,PFC.H.A.2/000397-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000398-2023,PFC.H.A.2/000398-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000399-2023,PFC.H.A.2/000399-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000400-2023,PFC.H.A.2/000400-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000401-2023,PFC.H.A.2/000401-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000402-2023,PFC.H.A.2/000402-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000403-2023,PFC.H.A.2/000403-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000404-2023,PFC.H.A.2/000404-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000405-2023,PFC.H.A.2/000405-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000406-2023,PFC.H.A.2/000406-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000407-2023,PFC.H.A.2/000407-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000408-2023,PFC.H.A.2/000408-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000409-2023,PFC.H.A.2/000409-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000410-2023,PFC.H.A.2/000410-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000411-2023,PFC.H.A.2/000411-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000412-2023,PFC.H.A.2/000412-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000413-2023,PFC.H.A.2/000413-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000414-2023,PFC.H.A.2/000414-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000415-2023,PFC.H.A.2/000415-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000416-2023,PFC.H.A.2/000416-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000417-2023,PFC.H.A.2/000417-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000418-2023,PFC.H.A.2/000418-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000419-2023,PFC.H.A.2/000419-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000420-2023,PFC.H.A.2/000420-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000421-2023,PFC.H.A.2/000421-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000422-2023,PFC.H.A.2/000422-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000423-2023,PFC.H.A.2/000423-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000424-2023,PFC.H.A.2/000424-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000425-2023,PFC.H.A.2/000425-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000426-2023,PFC.H.A.2/000426-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000427-2023,PFC.H.A.2/000427-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000428-2023,PFC.H.A.2/000428-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000429-2023,PFC.H.A.2/000429-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000430-2023,PFC.H.A.2/000430-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000431-2023,PFC.H.A.2/000431-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000432-2023,PFC.H.A.2/000432-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000433-2023,PFC.H.A.2/000433-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000434-2023,PFC.H.A.2/000434-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000435-2023,PFC.H.A.2/000435-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000436-2023,PFC.H.A.2/000436-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000437-2023,PFC.H.A.2/000437-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000438-2023,PFC.H.A.2/000438-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000439-2023,PFC.H.A.2/000439-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000440-2023,PFC.H.A.2/000440-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000441-2023,PFC.H.A.2/000441-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000442-2023,PFC.H.A.2/000442-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000443-2023,PFC.H.A.2/000443-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000444-2023,PFC.H.A.2/000444-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000445-2023,PFC.H.A.2/000445-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000446-2023,PFC.H.A.2/000446-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000447-2023,PFC.H.A.2/000447-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000448-2023,PFC.H.A.2/000448-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000449-2023,PFC.H.A.2/000449-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000450-2023,PFC.H.A.2/000450-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000451-2023,PFC.H.A.2/000451-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000452-2023,PFC.H.A.2/000452-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000453-2023,PFC.H.A.2/000453-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000454-2023,PFC.H.A.2/000454-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000455-2023,PFC.H.A.2/000455-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000456-2023,PFC.H.A.2/000456-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000457-2023,PFC.H.A.2/000457-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000458-2023,PFC.H.A.2/000458-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000459-2023,PFC.H.A.2/000459-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000460-2023,PFC.H.A.2/000460-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000461-2023,PFC.H.A.2/000461-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000462-2023,PFC.H.A.2/000462-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000463-2023,PFC.H.A.2/000463-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000464-2023,PFC.H.A.2/000464-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000465-2023,PFC.H.A.2/000465-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000466-2023,PFC.H.A.2/000466-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000467-2023,PFC.H.A.2/000467-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000468-2023,PFC.H.A.2/000468-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000469-2023,PFC.H.A.2/000469-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000470-2023,PFC.H.A.2/000470-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000471-2023,PFC.H.A.2/000471-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000472-2023,PFC.H.A.2/000472-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000473-2023,PFC.H.A.2/000473-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000474-2023,PFC.H.A.2/000474-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000475-2023,PFC.H.A.2/000475-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000476-2023,PFC.H.A.2/000476-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000477-2023,PFC.H.A.2/000477-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000478-2023,PFC.H.A.2/000478-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000479-2023,PFC.H.A.2/000479-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000480-2023,PFC.H.A.2/000480-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000481-2023,PFC.H.A.2/000481-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000482-2023,PFC.H.A.2/000482-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000483-2023,PFC.H.A.2/000483-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000484-2023,PFC.H.A.2/000484-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000485-2023,PFC.H.A.2/000485-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000486-2023,PFC.H.A.2/000486-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000487-2023,PFC.H.A.2/000487-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000488-2023,PFC.H.A.2/000488-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000489-2023,PFC.H.A.2/000489-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000490-2023,PFC.H.A.2/000490-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000491-2023,PFC.H.A.2/000491-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000492-2023,PFC.H.A.2/000492-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000493-2023,PFC.H.A.2/000493-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000494-2023,PFC.H.A.2/000494-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000495-2023,PFC.H.A.2/000495-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000496-2023,PFC.H.A.2/000496-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000497-2023,PFC.H.A.2/000497-2023,Cancelada,Cancelada,"Sin cambio"
PFC.H.A.2/000498-2023,PFC.H.A.2/000498-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000499-2023,PFC.H.A.2/000499-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000500-2023,PFC.H.A.2/000500-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000501-2023,PFC.H.A.2/000501-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000502-2023,PFC.H.A.2/000502-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000503-2023,PFC.H.A.2/000503-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000504-2023,PFC.H.A.2/000504-2023,Cancelada,Cancelada,"Sin cambio"
PFC.H.A.2/000505-2023,PFC.H.A.2/000505-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000506-2023,PFC.H.A.2/000506-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000507-2023,PFC.H.A.2/000507-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000508-2023,PFC.H.A.2/000508-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000509-2023,PFC.H.A.2/000509-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000510-2023,PFC.H.A.2/000510-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000511-2023,PFC.H.A.2/000511-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000512-2023,PFC.H.A.2/000512-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000513-2023,PFC.H.A.2/000513-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000514-2023,PFC.H.A.2/000514-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000515-2023,PFC.H.A.2/000515-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000516-2023,PFC.H.A.2/000516-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000517-2023,PFC.H.A.2/000517-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000518-2023,PFC.H.A.2/000518-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000519-2023,PFC.H.A.2/000519-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000520-2023,PFC.H.A.2/000520-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000521-2023,PFC.H.A.2/000521-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000522-2023,PFC.H.A.2/000522-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000523-2023,PFC.H.A.2/000523-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000524-2023,PFC.H.A.2/000524-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000525-2023,PFC.H.A.2/000525-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000526-2023,PFC.H.A.2/000526-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000527-2023,PFC.H.A.2/000527-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000528-2023,PFC.H.A.2/000528-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000529-2023,PFC.H.A.2/000529-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000530-2023,PFC.H.A.2/000530-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000531-2023,PFC.H.A.2/000531-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000532-2023,PFC.H.A.2/000532-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000533-2023,PFC.H.A.2/000533-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000534-2023,PFC.H.A.2/000534-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000535-2023,PFC.H.A.2/000535-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000536-2023,PFC.H.A.2/000536-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000537-2023,PFC.H.A.2/000537-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000538-2023,PFC.H.A.2/000538-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000539-2023,PFC.H.A.2/000539-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000540-2023,PFC.H.A.2/000540-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000541-2023,PFC.H.A.2/000541-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000542-2023,PFC.H.A.2/000542-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000543-2023,PFC.H.A.2/000543-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000544-2023,PFC.H.A.2/000544-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000545-2023,PFC.H.A.2/000545-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000546-2023,PFC.H.A.2/000546-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000547-2023,PFC.H.A.2/000547-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000548-2023,PFC.H.A.2/000548-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000549-2023,PFC.H.A.2/000549-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000550-2023,PFC.H.A.2/000550-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000551-2023,PFC.H.A.2/000551-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000552-2023,PFC.H.A.2/000552-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000553-2023,PFC.H.A.2/000553-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000554-2023,PFC.H.A.2/000554-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000555-2023,PFC.H.A.2/000555-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000556-2023,PFC.H.A.2/000556-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000557-2023,PFC.H.A.2/000557-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000558-2023,PFC.H.A.2/000558-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000559-2023,PFC.H.A.2/000559-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000560-2023,PFC.H.A.2/000560-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000561-2023,PFC.H.A.2/000561-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000562-2023,PFC.H.A.2/000562-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000563-2023,PFC.H.A.2/000563-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000564-2023,PFC.H.A.2/000564-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000565-2023,PFC.H.A.2/000565-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000566-2023,PFC.H.A.2/000566-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000567-2023,PFC.H.A.2/000567-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000568-2023,PFC.H.A.2/000568-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000569-2023,PFC.H.A.2/000569-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000570-2023,PFC.H.A.2/000570-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000571-2023,PFC.H.A.2/000571-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000572-2023,PFC.H.A.2/000572-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000573-2023,PFC.H.A.2/000573-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000574-2023,PFC.H.A.2/000574-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000575-2023,PFC.H.A.2/000575-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000576-2023,PFC.H.A.2/000576-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000577-2023,PFC.H.A.2/000577-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000578-2023,PFC.H.A.2/000578-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000579-2023,PFC.H.A.2/000579-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000580-2023,PFC.H.A.2/000580-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000581-2023,PFC.H.A.2/000581-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000582-2023,PFC.H.A.2/000582-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000583-2023,PFC.H.A.2/000583-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/000584-2023,PFC.H.A.2/000584-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000585-2023,PFC.H.A.2/000585-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000586-2023,PFC.H.A.2/000586-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000587-2023,PFC.H.A.2/000587-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000588-2023,PFC.H.A.2/000588-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000589-2023,PFC.H.A.2/000589-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000590-2023,PFC.H.A.2/000590-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000591-2023,PFC.H.A.2/000591-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000592-2023,PFC.H.A.2/000592-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000593-2023,PFC.H.A.2/000593-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000594-2023,PFC.H.A.2/000594-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000595-2023,PFC.H.A.2/000595-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000596-2023,PFC.H.A.2/000596-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000597-2023,PFC.H.A.2/000597-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000598-2023,PFC.H.A.2/000598-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000599-2023,PFC.H.A.2/000599-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000600-2023,PFC.H.A.2/000600-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000601-2023,PFC.H.A.2/000601-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000602-2023,PFC.H.A.2/000602-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000603-2023,PFC.H.A.2/000603-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000604-2023,PFC.H.A.2/000604-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000605-2023,PFC.H.A.2/000605-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000606-2023,PFC.H.A.2/000606-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000607-2023,PFC.H.A.2/000607-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000608-2023,PFC.H.A.2/000608-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000609-2023,PFC.H.A.2/000609-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000610-2023,PFC.H.A.2/000610-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000611-2023,PFC.H.A.2/000611-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000612-2023,PFC.H.A.2/000612-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000613-2023,PFC.H.A.2/000613-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000614-2023,PFC.H.A.2/000614-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000615-2023,PFC.H.A.2/000615-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000616-2023,PFC.H.A.2/000616-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000617-2023,PFC.H.A.2/000617-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000618-2023,PFC.H.A.2/000618-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/000619-2023,PFC.H.A.2/000619-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000620-2023,PFC.H.A.2/000620-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000621-2023,PFC.H.A.2/000621-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000622-2023,PFC.H.A.2/000622-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000623-2023,PFC.H.A.2/000623-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000624-2023,PFC.H.A.2/000624-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000625-2023,PFC.H.A.2/000625-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000626-2023,PFC.H.A.2/000626-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000627-2023,PFC.H.A.2/000627-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000628-2023,PFC.H.A.2/000628-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000629-2023,PFC.H.A.2/000629-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000630-2023,PFC.H.A.2/000630-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000631-2023,PFC.H.A.2/000631-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000632-2023,PFC.H.A.2/000632-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000633-2023,PFC.H.A.2/000633-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000634-2023,PFC.H.A.2/000634-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000635-2023,PFC.H.A.2/000635-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000636-2023,PFC.H.A.2/000636-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000637-2023,PFC.H.A.2/000637-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000638-2023,PFC.H.A.2/000638-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000639-2023,PFC.H.A.2/000639-2023,"No Conciliada","No Conciliada","Sin cambio"
PFC.H.A.2/000640-2023,PFC.H.A.2/000640-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000641-2023,PFC.H.A.2/000641-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000642-2023,PFC.H.A.2/000642-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000643-2023,PFC.H.A.2/000643-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000644-2023,PFC.H.A.2/000644-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000645-2023,PFC.H.A.2/000645-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000646-2023,PFC.H.A.2/000646-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000647-2023,PFC.H.A.2/000647-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/000648-2023,PFC.H.A.2/000648-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/000649-2023,PFC.H.A.2/000649-2023,Desistimiento,Desistimiento,"Sin cambio"
