expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.H.A.2/001291-2023,PFC.H.A.2/001291-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001292-2023,PFC.H.A.2/001292-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001293-2023,PFC.H.A.2/001293-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001294-2023,PFC.H.A.2/001294-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001295-2023,PFC.H.A.2/001295-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/001296-2023,PFC.H.A.2/001296-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001297-2023,PFC.H.A.2/001297-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001298-2023,PFC.H.A.2/001298-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001299-2023,PFC.H.A.2/001299-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001300-2023,PFC.H.A.2/001300-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001301-2023,PFC.H.A.2/001301-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001302-2023,PFC.H.A.2/001302-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001303-2023,PFC.H.A.2/001303-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001304-2023,PFC.H.A.2/001304-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001305-2023,PFC.H.A.2/001305-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001306-2023,PFC.H.A.2/001306-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001307-2023,PFC.H.A.2/001307-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001308-2023,PFC.H.A.2/001308-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001309-2023,PFC.H.A.2/001309-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001310-2023,PFC.H.A.2/001310-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001311-2023,PFC.H.A.2/001311-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001312-2023,PFC.H.A.2/001312-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001313-2023,PFC.H.A.2/001313-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001314-2023,PFC.H.A.2/001314-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001315-2023,PFC.H.A.2/001315-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/001316-2023,PFC.H.A.2/001316-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001317-2023,PFC.H.A.2/001317-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001318-2023,PFC.H.A.2/001318-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001319-2023,PFC.H.A.2/001319-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001320-2023,PFC.H.A.2/001320-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001321-2023,PFC.H.A.2/001321-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001322-2023,PFC.H.A.2/001322-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.H.A.2/001323-2023,PFC.H.A.2/001323-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001324-2023,PFC.H.A.2/001324-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001325-2023,PFC.H.A.2/001325-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001326-2023,PFC.H.A.2/001326-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001327-2023,PFC.H.A.2/001327-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001328-2023,PFC.H.A.2/001328-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/001329-2023,PFC.H.A.2/001329-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001330-2023,PFC.H.A.2/001330-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001331-2023,PFC.H.A.2/001331-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001332-2023,PFC.H.A.2/001332-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001333-2023,PFC.H.A.2/001333-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001334-2023,PFC.H.A.2/001334-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001335-2023,PFC.H.A.2/001335-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001336-2023,PFC.H.A.2/001336-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001337-2023,PFC.H.A.2/001337-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001338-2023,PFC.H.A.2/001338-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001339-2023,PFC.H.A.2/001339-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001340-2023,PFC.H.A.2/001340-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001341-2023,PFC.H.A.2/001341-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001342-2023,PFC.H.A.2/001342-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001343-2023,PFC.H.A.2/001343-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001344-2023,PFC.H.A.2/001344-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001345-2023,PFC.H.A.2/001345-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001346-2023,PFC.H.A.2/001346-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001347-2023,PFC.H.A.2/001347-2023,Improcedente,Improcedente,"Sin cambio"
PFC.H.A.2/001348-2023,PFC.H.A.2/001348-2023,"En Trámite","No Conciliada",Cambio
PFC.H.A.2/001349-2023,PFC.H.A.2/001349-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001350-2023,PFC.H.A.2/001350-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001351-2023,PFC.H.A.2/001351-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001352-2023,PFC.H.A.2/001352-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001353-2023,PFC.H.A.2/001353-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001354-2023,PFC.H.A.2/001354-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001355-2023,PFC.H.A.2/001355-2023,Conciliada,Conciliada,"Sin cambio"
PFC.H.A.2/001356-2023,PFC.H.A.2/001356-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001357-2023,PFC.H.A.2/001357-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001358-2023,PFC.H.A.2/001358-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001359-2023,PFC.H.A.2/001359-2023,"En Trámite",Desistimiento,Cambio
